Date,Open,High,Low,Close,Adj Close,Volume
2013-06-20,194.545456,194.545456,188.590912,190.136368,163.002609,1790381
2013-06-21,188.890915,190.899994,186.772720,189.709091,162.636322,2986950
2013-06-24,188.890915,191.454544,187.181824,190.845459,163.610504,3480113
2013-06-25,192.000000,192.363632,186.936356,187.863632,161.054199,3173158
2013-06-26,189.636368,190.245453,185.545456,186.699997,160.056641,1745045
2013-06-27,189.100006,189.636368,186.409088,187.754547,160.960693,2101598
2013-06-28,190.000000,195.472733,189.818176,194.500000,166.743515,1387918
2013-07-01,192.800003,195.236359,192.545456,194.481812,166.727921,2557851
2013-07-02,194.727264,197.199997,194.545456,196.218185,168.216522,1946213
2013-07-03,193.800003,194.790909,192.063629,193.345459,165.753738,2588145
2013-07-04,194.363632,194.527267,190.354538,193.454544,165.847260,1869741
2013-07-05,194.909088,195.781815,190.627274,191.118179,163.844315,3222784
2013-07-08,187.690903,189.072723,185.872726,186.899994,160.228104,2256264
2013-07-09,189.636368,189.636368,186.609085,188.127274,161.280228,1346894
2013-07-10,188.581818,190.872726,188.063629,188.772720,161.833588,1304698
2013-07-11,191.454544,194.827271,190.818176,192.381821,164.927628,1540120
2013-07-12,193.272720,194.245453,191.290909,193.081818,165.527725,901268
2013-07-15,191.818176,193.618179,191.018188,193.245453,165.667999,1001439
2013-07-16,188.127274,188.127274,181.345459,182.399994,156.370285,4265139
2013-07-17,184.363632,184.363632,176.090912,178.218185,152.785217,3707329
2013-07-18,179.636368,180.363632,173.709091,179.109085,153.548996,4683249
2013-07-19,179.818176,179.818176,173.663635,174.372726,149.488541,3188943
2013-07-22,174.727264,177.718185,173.945450,177.227264,151.935715,1718386
2013-07-23,179.454544,180.727264,178.609085,179.963638,154.281601,3030614
2013-07-24,176.763641,176.909088,171.372726,173.245453,148.522141,1674238
2013-07-25,170.909088,173.118179,168.727264,170.063629,145.794403,2617664
2013-07-26,172.181824,173.090912,167.345459,169.518188,145.326797,2246512
2013-07-29,169.090912,171.000000,167.872726,169.072723,144.944901,1688862
2013-07-30,169.818176,171.699997,167.818176,168.463638,144.422729,3881426
2013-07-31,168.000000,168.000000,162.181824,165.327271,141.733932,3666717
2013-08-01,167.500000,168.318176,162.245453,166.000000,142.310684,3012035
2013-08-02,167.254547,167.336365,160.754547,161.272720,138.257980,1523087
2013-08-05,162.727264,165.272720,158.063629,164.118179,140.697388,1070315
2013-08-06,162.372726,163.054550,156.727264,157.500000,135.023682,1389508
2013-08-07,158.181824,159.909088,156.500000,157.836365,135.312027,1602463
2013-08-08,159.000000,160.727264,156.818176,159.118179,136.410934,1947307
2013-08-12,160.545456,162.000000,156.663635,157.500000,135.023682,1883821
2013-08-13,156.345459,163.181824,154.781815,162.381821,139.208817,2230425
2013-08-14,162.800003,166.227264,161.163635,164.363632,140.907822,1847042
2013-08-16,162.727264,162.909088,155.600006,156.109085,133.831284,3638183
2013-08-19,156.363632,156.727264,147.372726,148.199997,127.050858,4831744
2013-08-20,145.272720,151.745453,143.636368,150.827271,129.303192,3836722
2013-08-21,157.327271,159.890915,146.281815,150.663635,129.162903,5695156
2013-08-22,149.272720,152.081818,145.800003,151.036362,129.482437,3040047
2013-08-23,152.709091,157.418182,149.390915,154.963638,132.849274,4252500
2013-08-26,155.454544,156.181824,149.554550,150.972733,129.427902,3797458
2013-08-27,148.345459,149.727264,145.454544,146.054550,125.211571,3596389
2013-08-28,143.636368,146.927277,137.963638,144.845459,124.175026,6731229
2013-08-29,147.636368,149.072723,144.209091,146.672729,125.741531,1977970
2013-08-30,147.090912,150.454544,145.018188,146.236359,125.367447,4226369
2013-09-02,148.172729,151.345459,147.209091,150.345459,128.890137,1669084
2013-09-03,151.818176,152.363632,141.372726,142.518188,122.179863,4465014
2013-09-04,142.909088,149.272720,141.863632,148.709091,127.487289,2703288
2013-09-05,157.818176,164.927277,157.172729,162.390915,139.216629,3421802
2013-09-06,163.836365,175.036362,163.836365,174.363632,149.480759,3580384
2013-09-10,176.545456,178.545456,174.836365,176.281815,151.125214,2852893
2013-09-11,175.818176,177.754547,172.545456,176.218185,151.070648,2065238
2013-09-12,175.000000,175.000000,171.090912,172.909088,148.233795,3313259
2013-09-13,171.563629,174.727264,169.618179,171.009094,146.604919,3274369
2013-09-16,176.463638,179.836365,173.054550,176.327271,151.164169,2716763
2013-09-17,175.800003,177.254547,173.636368,175.063629,150.080872,1373074
2013-09-18,175.636368,177.272720,175.090912,176.936356,151.686340,1334607
2013-09-19,186.363632,194.363632,186.363632,188.527267,161.623123,3583530
2013-09-20,187.645447,188.527267,174.709091,179.509094,153.891937,3454329
2013-09-23,174.727264,176.854538,169.581818,171.636368,147.142700,3261125
2013-09-24,169.618179,176.363632,169.272720,171.899994,147.368683,1793538
2013-09-25,171.818176,173.636368,167.072723,170.399994,146.082748,2274749
